portal	name
Aspall1	Aspergillus_allahabadii_v1.0
Aspcru1	Aspergillus_crustosus_CBS_478.65_v1.0
Aspluc1	Aspergillus_lucknowensis_CBS_449.75_v1.0
Aspthe1	Aspergillus_thermomutatus_v1.0
Asposti1	Aspergillus_ostianus_v1.0
Aspfove1	Aspergillus_foveolata_CBS_279.81_v1.0
Aspper1	Aspergillus_persii_CBS_112795_v1.0
Asppet1	Aspergillus_petrakii_CBS_105.57_v1.0
Asptetr1	Aspergillus_tetrazonus_CBS_591.65A_v1.0
Asplon1	Aspergillus_longivesica_v1.0
Asprhi1	Aspergillus_rhizopodus_v1.0
Aspnav1_1	Aspergillus_navahoensis_v1.0
Aspsub1	Aspergillus_subauricomus_CBS_638.78_v1.0
Aspgra1	Aspergillus_granulosus_CBS_588.65_v1.0
Aspmult1	Aspergillus_multiplicatus_CBS_646958_v1.0
Aspspe1_1	Aspergillus_spectabilis_CBS_429.77A_v1.0
Asppust1	Aspergillus_pseudoustus_CBS_123904_v1.0
Aspsul1	Aspergillus_sulphureus_CBS_550.65_v1.0
Aspele1	Aspergillus_elegans_CBS_116.39_v1.0
Aspfalc1	Aspergillus_falconensis_CBS_271.91_v1.0
Aspkar1	Aspergillus_karnatakaensis_CBS_102800_v1.0
Aspvar1	Aspergillus_varians_CBS_505.65_v1.0
Aspsil1	Aspergillus_silvaticus_CBS_128.55_v1.0
Aspsim1_1	Aspergillus_similis_v1.0
Asplup1	Aspergillus_luppii_CBS_653.74_v1.0
Aspamb1	Aspergillus_ambiguus_v1.0
Aspaur1	Aspergillus_aureoterreus_v1.0
Aspmuri1	Aspergillus_muricatus_v1.0
Asppern1	Aspergillus_pernambucoensis_CBS_137449_v1.0
Aspaurlat1	Aspergillus_aureolatus_CBS_190.65_v1.0
Aspcla1	Aspergillus_clavatonanicus_v1.0
Aspwes1	Aspergillus_westlandensis_CBS_123905_v1.0
Aspaste1	Aspergillus_astellatus_v1.0
Aspmic1	Aspergillus_microcysticus_CBS_120.58_v1.0
Aspnaka1	Aspergillus_nakazawae_v1.0
Aspaura1	Aspergillus_aurantiobrunneus_CBS_465.65_v1.0
Asppari1	Aspergillus_parvisclerotigenus_CBS_121.62_v1.0
DallocAZ0526_2	Daldinia_loculata_AZ0526_v2.0
Durrog2	Durotheca_rogersii_YMJ_92031201_v1.0
Aspimp1	Aspergillus_implicatus_CBS_484.95_v1.0
Asplep1	Aspergillus_leporis_CBS_151.66_v1.0
XyFL0804_2	Xylariaceae_sp._FL0804_v2.0
XyFL0064_1	Xylaria_sp._FL0064_v1.0
Hypsub2	Hypoxylon_submonticulosum_NC0708_v2.0
HyFL1284_2	Hypoxylon_sp._FL1284_v2.0
XyAK1471_1	Xylariaceae_sp._AK1471_v1.0
Xylhel2	Xylaria_cf._heliscus_FL0509_v2.0
Capfu1	Capronia_fungicola_CBS_614.96_v1.0
Atrpi1	Atropellis_piniphila_CBS_197.64_v1.0
Bolcoc1	Boletus_coccyginus_2016PMI039_v1.0
PhlFC14_2	Phlebopus_sp._FC_14_v2.0
Pisori2	Pisolithus_orientalis_OTSU_v2.0
Pgt_Ug99_A1	Puccinia_graminis_f._sp._tritici_Ug99_haplotype_A
Pgt_Ug99_C1	Puccinia_graminis_f._sp._tritici_Ug99_haplotype_C
Pgt_201_A1	Puccinia_graminis_f._sp._tritici_21-0_haplotype_A
Pgt_201_B1	Puccinia_graminis_f._sp._tritici_21-0_haplotype_B
Altfr1	Alternaria_fragaria_BMP3062
Altca1	Alternaria_capsici_BMP0180
Altci1	Alternaria_citriarbusti_BMP2343
XyFL1272_2	Xylariaceae_sp._FL1272_v2.0
Hypfra2	Hypoxylon_fragiforme_CBS_206.31_v2.0
Ellano2	Ellisomyces_anomalus_CBS_243.57_v2.0
LboTFB7810_1	Lentinula_boryana_TFB7810_v1.0
NeFL0031_2	Nemania_sp._FL0031_v2.0
Hyafin1	Hyaloscypha_finlandica_PMI_746_v1.0
HyNC1633_2	Hypoxylon_sp._NC1633_v2.0
Altga1	Alternaria_gaisen_BMP2338
Alalte1	Alternaria_alternata_ATCC66891
Altcar1	Alternaria_carthami_BMP1963
Altpo1	Alternaria_porri_BMP0178
Altar1	Alternaria_arborescens_BMP0308
Altta1	Alternaria_tangelonis_BMP2327
Altte1	Alternaria_tenuissima_BMP0304
Altcr1	Alternaria_crassa_BMP0172
Alalt1	Alternaria_alternata_ATCC11680
Aalte1	Alternaria_alternata_BMP0270
Amal3064	Alternaria_mali_BMP3064
Amal3063	Alternaria_mali_BMP3063
Altso1	Alternaria_solani_BMP0185
Albra1	Alternaria_brassicicola_ATCC96836
Altda1	Alternaria_dauci_BMP0167
Altli1	Alternaria_limoniasperae_BMP2335
Altlo1	Alternaria_longipes_BMP0313
Altma1	Alternaria_macrospora_BMP1949
MorAD185_1_1	Mortierella_sp._AD185_v1.0
PlePMI138_1	Pleosporaceae_sp._PMI_138_v1.0
Leuca1	Leucangium_carthusianum_GMNB180_v1.0
FusoxFo47	Fusarium_oxysporum_Fo47
Fusoxmel1	Fusarium_oxysporum_f._sp._melonis_(FoMelon)_NRRL_26406
Fusoxcon1	Fusarium_oxysporum_f._sp._conglutinans_race_2_54008_(PHW808)
Fusoxlyc1	Fusarium_oxysporum_f._sp._lycopersici_MN25_(FoMN25)_NRRL_54003
Fusoxvas1	Fusarium_oxysporum_f._sp._vasinfectum_25433_(Cotton)
Fusox32931	Fusarium_oxysporum_NRRL_32931
LedTMI1633_1	Lentinula_edodes_TMI1633_v1.0
Fusoxpis1	Fusarium_oxysporum_f._sp._pisi_HDV247
